Chr	Start	End	DCI_Score	Coordinate	ClosestTAD	Distance
chr18	78440000	78480000	9.01648156748786	(78440000, 0)	(78440000, 0)	0.0
chr18	79360000	79400000	8.589926834458259	(79360000, 0)	(79360000, 0)	0.0
chr18	79680000	79720000	14.030211008966413	(79680000, 0)	(79680000, 0)	0.0
chr19	1360000	1400000	7.127734617248286	(1360000, 0)	(1400000, 0)	40000.0
chr19	23880000	23920000	7.1421070754977825	(23880000, 0)	(23840000, 0)	40000.0
chr20	18000000	18040000	7.69767786715562	(18000000, 0)	(18000000, 0)	0.0
chr20	42960000	43000000	9.773321219281037	(42960000, 0)	(42920000, 0)	40000.0
chr20	43240000	43280000	7.663808306872878	(43240000, 0)	(43280000, 0)	40000.0
chr20	55880000	55920000	7.6383623573644055	(55880000, 0)	(55840000, 0)	40000.0
chr20	60960000	61000000	8.53807157260105	(60960000, 0)	(60920000, 0)	40000.0
chr21	29000000	29040000	10.120313577949032	(29000000, 0)	(28960000, 0)	40000.0
chr22	46760000	46800000	7.458063699362401	(46760000, 0)	(46760000, 0)	0.0
chr22	47320000	47360000	12.318301098514793	(47320000, 0)	(47280000, 0)	40000.0
chr22	48320000	48360000	8.003442965801177	(48320000, 0)	(48320000, 0)	0.0
chr22	49520000	49560000	7.109990709351647	(49520000, 0)	(49520000, 0)	0.0
